"job_schedule_type","job_count","avg_yearly_salary","avg_hourly_salary"
"Full-time","7","179500.000000000000",NULL
"Full-time and Part-time","1","179500.000000000000",NULL
"Full-time","1","179400.000000000000",NULL
"Full-time and Part-time","5","179000.000000000000",NULL
"Full-time","8","179000.000000000000",NULL
"Full-time","9","178500.000000000000",NULL
"Full-time","4","178458.000000000000",NULL
"Full-time","1","178426.500000000000",NULL
"Full-time","1","178200.093750000000",NULL
"Full-time","2","178000.000000000000",NULL
"Full-time and Part-time","2","178000.000000000000",NULL
"Full-time","5","177885.500000000000",NULL
"Full-time","3","177820.000000000000",NULL
"Full-time","1","177699.000000000000",NULL
"Full-time","26","177500.000000000000",NULL
"Full-time","1","177495.000000000000",NULL
"Full-time","9","177283.000000000000",NULL
"Full-time","5","177000.000000000000",NULL
"Full-time","1","176842.000000000000",NULL
"Full-time","1","176775.500000000000",NULL
"Full-time","2","176625.000000000000",NULL
"Full-time","1","176550.000000000000",NULL
"Full-time","5","176500.000000000000",NULL
"Full-time","1","176460.656250000000",NULL
"Full-time","3","176273.500000000000",NULL
"Full-time","2","176000.000000000000",NULL
"Full-time","1","175955.500000000000",NULL
"Full-time","2","175875.000000000000",NULL
"Full-time","1","175547.000000000000",NULL
"Full-time","13","175500.000000000000",NULL
"Full-time and Part-time","1","175500.000000000000",NULL
"Contractor","1","175500.000000000000",NULL
"Full-time","2","175375.000000000000",NULL
"Internship","1","175000.000000000000",NULL
"Full-time","296","175000.000000000000",NULL
"Contractor","1","175000.000000000000",NULL
"Full-time","24","174720.000000000000",NULL
"Full-time","2","174667.500000000000",NULL
"Full-time","3","174620.000000000000",NULL
"Full-time","4","174500.000000000000",NULL
"Full-time","1","174375.000000000000",NULL
"Full-time","1","174350.000000000000",NULL
"Full-time","1","174259.000000000000",NULL
"Full-time","1","174120.000000000000",NULL
"Full-time","1","174040.000000000000",NULL
"Full-time","13","174000.000000000000",NULL
"Full-time and Part-time","1","174000.000000000000",NULL
"Full-time","1","173775.000000000000",NULL
"Full-time","2","173550.000000000000",NULL
"Full-time","62","173500.000000000000",NULL
"Full-time and Part-time","30","173500.000000000000",NULL
"Part-time","2","173500.000000000000",NULL
"Full-time","1","173293.500000000000",NULL
"Full-time, Part-time, and Internship","1","173280.000000000000",NULL
"Full-time","2","173190.000000000000",NULL
"Full-time","1","173125.000000000000",NULL
"Full-time","1","173124.000000000000",NULL
"Full-time","14","173000.000000000000",NULL
"Full-time","61","172500.000000000000",NULL
"Full-time","1","172475.500000000000",NULL
"Full-time","3","172118.500000000000",NULL
"Full-time","4","172015.000000000000",NULL
"Full-time","16","172000.000000000000",NULL
"Full-time","3","171875.000000000000",NULL
"Full-time","1","171850.000000000000",NULL
"Full-time","3","171620.000000000000",NULL
"Full-time","5","171500.000000000000",NULL
"Full-time","1","171430.000000000000",NULL
"Full-time","5","171121.000000000000",NULL
"Full-time","1","171067.000000000000",NULL
"Full-time","28","171000.000000000000",NULL
"Full-time","1","170875.000000000000",NULL
"Full-time","20","170672.000000000000",NULL
"Full-time","14","170575.000000000000",NULL
"Contractor","1","170575.000000000000",NULL
"Full-time","23","170500.000000000000",NULL
"Full-time and Part-time","1","170500.000000000000",NULL
"Full-time","1","170218.750000000000",NULL
"Full-time","1","170180.000000000000",NULL
"Full-time","2","170000.500000000000",NULL
"Full-time and Part-time","1","170000.000000000000",NULL
"Full-time, Part-time, and Internship","1","170000.000000000000",NULL
"Contractor","2","170000.000000000000",NULL
"Full-time","149","170000.000000000000",NULL
"Full-time","1","169833.500000000000",NULL
